timestamp,from_id,rssi,snr,portnum
2026-08-27T13:24:30.393355,!cae6820e,-66,6.25,RANGE_TEST_APP
2026-08-27T13:24:35.525122,!f96f5903,-66,6.5,RANGE_TEST_APP
2026-08-27T13:24:38.458819,!d1da85e4,-60,6.0,RANGE_TEST_APP
2026-08-27T13:24:45.446822,!cae6820e,-66,6.75,RANGE_TEST_APP
2026-08-27T13:24:50.622508,!f96f5903,-70,6.0,RANGE_TEST_APP
2026-08-27T13:25:00.517145,!cae6820e,-79,6.25,RANGE_TEST_APP
2026-08-27T13:25:05.800447,!f96f5903,-65,6.25,RANGE_TEST_APP
2026-08-27T13:25:08.823985,!d1da85e4,-64,6.25,RANGE_TEST_APP
2026-08-27T13:25:15.510694,!cae6820e,-72,5.5,RANGE_TEST_APP
2026-08-27T13:25:20.857836,!f96f5903,-64,7.25,RANGE_TEST_APP
2026-08-27T13:25:23.775299,!d1da85e4,-63,6.5,RANGE_TEST_APP
2026-08-27T13:25:30.972537,!cae6820e,-74,6.5,RANGE_TEST_APP
2026-08-27T13:25:35.995688,!f96f5903,-70,6.25,RANGE_TEST_APP
2026-08-27T13:25:39.085243,!d1da85e4,-66,6.5,RANGE_TEST_APP
2026-08-27T13:25:45.740808,!cae6820e,-81,5.75,RANGE_TEST_APP
2026-08-27T13:25:51.044766,!f96f5903,-78,5.75,RANGE_TEST_APP
2026-08-27T13:25:54.082529,!d1da85e4,-66,6.5,RANGE_TEST_APP
2026-08-27T13:26:00.942998,!cae6820e,-84,5.5,RANGE_TEST_APP
2026-08-27T13:26:06.200167,!f96f5903,-90,5.5,RANGE_TEST_APP
2026-08-27T13:26:09.177553,!d1da85e4,-67,6.0,RANGE_TEST_APP
2026-08-27T13:26:16.094495,!cae6820e,-75,6.5,RANGE_TEST_APP
2026-08-27T13:26:21.172843,!f96f5903,-94,5.25,RANGE_TEST_APP
2026-08-27T13:26:24.318904,!d1da85e4,-74,6.5,RANGE_TEST_APP
2026-08-27T13:26:31.201846,!cae6820e,-83,5.25,RANGE_TEST_APP
2026-08-27T13:26:36.473272,!f96f5903,-87,5.0,RANGE_TEST_APP
2026-08-27T13:26:39.241070,!d1da85e4,-74,6.0,RANGE_TEST_APP
2026-08-27T13:26:46.237879,!cae6820e,-78,6.25,RANGE_TEST_APP
2026-08-27T13:26:51.405498,!f96f5903,-76,6.25,RANGE_TEST_APP
2026-08-27T13:26:54.320300,!d1da85e4,-80,6.0,RANGE_TEST_APP
2026-08-27T13:27:01.388721,!cae6820e,-76,6.5,RANGE_TEST_APP
2026-08-27T13:27:06.630262,!f96f5903,-78,6.0,RANGE_TEST_APP
2026-08-27T13:27:09.541068,!d1da85e4,-72,6.25,RANGE_TEST_APP
2026-08-27T13:27:16.484546,!cae6820e,-82,5.5,RANGE_TEST_APP
2026-08-27T13:27:21.762003,!f96f5903,-87,5.75,RANGE_TEST_APP
2026-08-27T13:27:24.541948,!d1da85e4,-74,5.5,RANGE_TEST_APP
2026-08-27T13:27:31.617188,!cae6820e,-72,6.75,RANGE_TEST_APP
2026-08-27T13:27:37.115695,!f96f5903,-95,3.25,RANGE_TEST_APP
2026-08-27T13:27:39.831095,!d1da85e4,-71,6.0,RANGE_TEST_APP
2026-08-27T13:27:46.723269,!cae6820e,-95,0.25,RANGE_TEST_APP
2026-08-27T13:27:51.827533,!f96f5903,-80,6.75,RANGE_TEST_APP
2026-08-27T13:27:54.841509,!d1da85e4,-73,5.75,RANGE_TEST_APP
